Time (s),Voltage (V)
0.000000000000000000e+00,7.765583469770614977e-01
4.000000000000000327e-05,7.707159511534590335e-01
8.000000000000000654e-05,7.623778841404249551e-01
1.200000000000000030e-04,7.517193853761870992e-01
1.600000000000000131e-04,7.389330416346947539e-01
2.000000000000000096e-04,7.242228313803259487e-01
2.400000000000000061e-04,7.077985763186794843e-01
2.799999999999999755e-04,6.898710248045333282e-01
3.200000000000000262e-04,6.706477483518137328e-01
3.600000000000000227e-04,6.503299810060252373e-01
4.000000000000000192e-04,6.291104746556842597e-01
4.400000000000000157e-04,6.071723845624319438e-01
4.800000000000000122e-04,5.846891416157039556e-01
5.199999999999999544e-04,5.618252140850960030e-01
5.599999999999999509e-04,5.387376146936826427e-01
5.999999999999999474e-04,5.155779709942135414e-01
6.400000000000000524e-04,4.924949500921666501e-01
6.800000000000000488e-04,4.696368139052842783e-01
7.200000000000000453e-04,4.471538788950819021e-01
7.600000000000000418e-04,4.252006643926584117e-01
8.000000000000000383e-04,4.039375354580376221e-01
8.400000000000000348e-04,3.835316782551451142e-01
8.800000000000000313e-04,3.641572862849323244e-01
9.200000000000000278e-04,3.459948821977216760e-01
9.600000000000000243e-04,3.292297497437257081e-01
1.000000000000000021e-03,3.140495010412304722e-01
1.039999999999999909e-03,3.006408530947977664e-01
1.080000000000000014e-03,2.891857318955208811e-01
1.119999999999999902e-03,2.798568602869921373e-01
1.160000000000000007e-03,2.728130152863856295e-01
1.199999999999999895e-03,2.681941603912805783e-01
1.240000000000000000e-03,2.661166677940334790e-01
1.280000000000000105e-03,2.666688441382347174e-01
1.319999999999999993e-03,2.699069618082815536e-01
1.360000000000000098e-03,2.758519765808797319e-01
1.399999999999999986e-03,2.844870830777649351e-01
1.440000000000000091e-03,2.957562235043650345e-01
1.479999999999999979e-03,3.095636245730061797e-01
1.520000000000000084e-03,3.257743943865484271e-01
1.559999999999999972e-03,3.442161675413555888e-01
1.600000000000000077e-03,3.646817448754441915e-01
1.639999999999999965e-03,3.869326360490433214e-01
1.680000000000000070e-03,4.107033801535873718e-01
1.719999999999999958e-03,4.357064931244946648e-01
1.760000000000000063e-03,4.616378718247725610e-01
1.799999999999999951e-03,4.881824738022136345e-01
1.840000000000000056e-03,5.150200890182689006e-01
1.879999999999999944e-03,5.418310250173342668e-01
1.920000000000000049e-03,5.683015394033199552e-01
1.959999999999999937e-03,5.941288721577919762e-01
2.000000000000000042e-03,6.190257540685192295e-01
2.040000000000000147e-03,6.427242949677249850e-01
2.079999999999999818e-03,6.649791851447226509e-01
2.119999999999999923e-03,6.855701737254947803e-01
